timestamp,symbol,ob_signal,ob_confidence,bid_ask_ratio,spread_pct,bid_wall_conc,ask_wall_conc,indicator_filter_passed,filter_reason,rsi,ema_fast,ema_slow,atr,volume_ratio
2026-06-01 01:18:39 UTC,SOLUSDT,NEUTRAL,LOW,0.843,0.02428,0.722,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:40 UTC,ETHUSDT,NEUTRAL,LOW,1.0866,0.02542,0.5393,0.4742,True,Balanced book,,,,,
2026-06-01 01:18:40 UTC,SOLUSDT,NEUTRAL,LOW,0.843,0.02428,0.722,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:40 UTC,ETHUSDT,NEUTRAL,LOW,0.8325,0.03689,0.5639,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:41 UTC,SOLUSDT,NEUTRAL,LOW,0.843,0.02428,0.722,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:41 UTC,ETHUSDT,NEUTRAL,LOW,0.8758,0.03689,0.536,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:41 UTC,SOLUSDT,NEUTRAL,LOW,0.8429,0.03643,0.722,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:42 UTC,ETHUSDT,NEUTRAL,LOW,0.9191,0.04038,0.5108,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:42 UTC,SOLUSDT,NEUTRAL,LOW,0.843,0.02428,0.722,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:43 UTC,ETHUSDT,NEUTRAL,LOW,0.8877,0.04487,0.5288,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:43 UTC,SOLUSDT,NEUTRAL,LOW,0.8429,0.03643,0.722,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:43 UTC,ETHUSDT,NEUTRAL,LOW,0.8877,0.04487,0.5288,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:44 UTC,SOLUSDT,NEUTRAL,LOW,0.8359,0.02428,0.7206,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:44 UTC,ETHUSDT,NEUTRAL,LOW,0.9242,0.04637,0.508,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:44 UTC,SOLUSDT,NEUTRAL,LOW,0.8359,0.02428,0.7206,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:45 UTC,ETHUSDT,NEUTRAL,LOW,0.8738,0.04637,0.5372,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:45 UTC,SOLUSDT,NEUTRAL,LOW,0.8359,0.02428,0.7206,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:46 UTC,ETHUSDT,NEUTRAL,LOW,0.8738,0.04637,0.5372,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:46 UTC,SOLUSDT,NEUTRAL,LOW,0.8359,0.02428,0.7206,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:46 UTC,BTCUSDT,SHORT,HIGH,0.1156,0.00258,0.467,0.651,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:47 UTC,ETHUSDT,NEUTRAL,LOW,0.8904,0.04786,0.5273,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:47 UTC,SOLUSDT,SHORT,HIGH,0.8252,0.03643,0.725,0.4066,False,EMA trend UP (fast=82.5146 > slow=82.3551),51.72,82.514595,82.355111,0.27887,0.23
2026-06-01 01:18:47 UTC,BNBUSDT,SHORT,HIGH,0.5651,0.01834,0.5358,0.4068,True,"EMA downtrend, RSI=43.6",43.56,710.50359,711.079791,2.578932,0.65
2026-06-01 01:18:47 UTC,XRPUSDT,SHORT,HIGH,0.751,0.00751,0.8156,0.4633,False,EMA trend UP (fast=1.3337 > slow=1.3330),48.23,1.333716,1.332952,0.004078,0.33
